Temperature,Energy,Magnetization
0.001,-6.006379999999937,189.0
52.63252631578947,-6.015884999999937,189.0
105.26405263157895,-6.005877999999936,189.0
157.89557894736842,-5.912051999999935,187.0
210.5271052631579,-5.916826999999937,186.06
263.15863157894734,-5.664657999999942,174.16
315.7901578947368,-5.7039449999999405,170.68
368.4216842105263,-4.469181999999962,137.54
421.05321052631575,-4.037792999999969,109.4
473.6847368421052,-4.213062999999966,6.76
526.3162631578947,-3.0713999999999846,51.38
578.9477894736842,-3.1864109999999837,52.74
631.5793157894736,-2.2738359999999984,17.8
684.210842105263,-2.1466340000000006,8.3
736.8423684210526,-1.8588190000000029,50.34
789.4738947368421,-2.843090999999989,18.42
842.1054210526315,-1.2693290000000017,36.56
894.7369473684209,-1.434639000000002,20.66
947.3684736842105,-1.9795190000000016,8.22
1000.0,-2.2092239999999994,6.14
